latitude,longitude,CCTV대수
37.5854,127.0814,1
37.5857,127.082,1
37.5848,127.0807,1
37.5848,127.0807,1
37.5861,127.0808,1
37.5861,127.0808,1
37.5861,127.0808,1
37.5862,127.0813,1
37.5862,127.0813,1
37.5862,127.0813,1
37.5801,127.0795,1
37.5801,127.0795,1
37.5801,127.0795,1
37.581,127.0834,1
37.5874,127.0837,1
37.5874,127.0837,1
37.5874,127.0837,1
37.5874,127.0837,1
37.5865,127.0823,1
37.5869,127.0835,1
37.5869,127.0835,1
37.5869,127.0835,1
37.5869,127.0835,1
37.5866,127.0825,1
37.5866,127.0825,1
37.5866,127.0825,1
37.5865,127.0821,1
37.5865,127.0821,1
37.5865,127.0821,1
37.5747,127.0829,1
37.5865,127.0821,1
37.5856,127.075,1
37.574,127.091,1
37.5751,127.0894,1
37.5733,127.0889,1
37.574,127.091,1
37.5733,127.0889,1
37.573,127.0915,1
37.574,127.0894,1
37.5751,127.0894,1
37.573,127.0913,1
37.573,127.0913,1
37.574,127.0894,1
37.573,127.0915,1
37.5751,127.0894,1
37.5739,127.0909,1
37.5743,127.0909,1
37.5741,127.0809,1
37.5741,127.0809,1
37.5741,127.0809,1
37.5741,127.0809,1
37.5747,127.0852,1
37.5747,127.0852,1
37.5725,127.0832,1
37.573,127.0832,1
37.5725,127.0832,1
37.573,127.0832,1
37.5725,127.0832,1
37.5725,127.0832,1
37.573,127.0832,1
37.5766,127.0878,1
37.5766,127.0878,1
37.5766,127.0878,1
37.5753,127.088,1
37.5753,127.088,1
37.5756,127.0878,1
37.5756,127.088,1
37.5756,127.0878,1
37.5756,127.0878,1
37.5715,127.0823,1
37.5715,127.0823,1
37.5715,127.0823,1
37.5792,127.0832,1
37.5715,127.0827,1
37.5715,127.0827,1
37.572,127.0816,1
37.5747,127.0829,1
37.572,127.0816,1
37.572,127.0816,1
37.5719,127.0829,1
37.5719,127.0829,1
37.5719,127.0829,1
37.5712,127.0852,1
37.5712,127.0852,1
37.5712,127.0852,1
37.5711,127.0854,1
37.5711,127.0854,1
37.5711,127.0854,1
37.5718,127.0848,1
37.5718,127.0848,1
37.5718,127.0848,1
37.5728,127.0848,1
37.5728,127.0848,1
37.5728,127.0848,1
37.5718,127.0841,1
37.5718,127.0841,1
37.5731,127.0842,1
37.5731,127.0842,1
37.5731,127.0842,1
37.5731,127.0842,1
37.5736,127.0838,1
37.5741,127.0842,1
37.5741,127.0842,1
37.5741,127.0842,1
37.5729,127.0827,1
37.5729,127.0827,1
37.5729,127.0827,1
37.5733,127.0817,1
37.5733,127.0817,1
37.5733,127.0817,1
37.5733,127.0817,1
37.5734,127.0831,1
37.5734,127.0831,1
37.5734,127.0831,1
37.5734,127.0831,1
37.5717,127.0809,1
37.5717,127.0809,1
37.5717,127.0809,1
37.5717,127.0809,1
37.5733,127.0812,1
37.5733,127.081,1
37.5733,127.081,1
37.5726,127.0811,1
37.5726,127.0811,1
37.5726,127.0811,1
