dong_code,dong_name,population,population_normalized
11215830,자양2동,22115.83288262631,0.19499816164101197
11215840,자양3동,25351.171210201665,0.22948526387562465
11215847,자양4동,26321.967033645724,0.23983346595597432
11215850,구의1동,21482.415825301185,0.18824624990834007
11215860,구의2동,18848.460539734315,0.1601695926881293
11215870,구의3동,27658.717992122503,0.2540825683061926
11230536,용신동,40198.801650350004,0.38775364173485394
11230545,제기동,30541.88168596234,0.2848156635812994
11230560,전농1동,34652.814916842355,0.3286361732957424
11230570,전농2동,14618.464087675782,0.11507992807691134
11230600,답십리1동,23128.859515477714,0.20579652320825925
11230610,답십리2동,20652.797231000484,0.1794029270837915
11230650,장안1동,34132.344829505186,0.3230882202550765
11230660,장안2동,28882.90052596639,0.26713174707017706
11230705,청량리동,19541.79782273218,0.1675602243132724
11230710,회기동,18257.77529827426,0.15387318092275565
11230720,휘경1동,16702.263746825858,0.137292199130312
11230730,휘경2동,17697.780526541577,0.1479039143459068
11230740,이문1동,27249.472542988628,0.2497202147547768
11230750,이문2동,12279.233077670264,0.09014488548651392
11260520,면목2동,18966.770862059628,0.16143072205647602
11260540,면목4동,14864.031825417744,0.11769755838928006
11260550,면목5동,11541.221881225329,0.08227805209689448
11260565,면목본동,27304.14235883711,0.250302967882091
11260570,면목7동,15647.669896404142,0.1260507516360884
11260575,면목3?8동,19862.913580728655,0.170983159058854
11260580,상봉1동,16816.803193935266,0.1385131328387562
11260590,상봉2동,23832.121104413985,0.21329294301344776
11260600,중화1동,15519.874266681263,0.12468851359445131
11260610,중화2동,24453.322395479165,0.2199146407353344
11260620,묵1동,24983.05854256435,0.2255613653780669
11260630,묵2동,17432.867052621077,0.14508006807902518
11260655,망우본동,40204.08890760419,0.3878100012753421
11260660,망우3동,10212.723758695405,0.0681169208854591
11260680,신내1동,33366.01660327893,0.31491954136981737
11260690,신내2동,14254.779983901662,0.11120323587410201
11290525,성북동,19844.381688845504,0.1707856182809614
11290555,삼선동,26239.435187381383,0.2389537174006315
11290575,동선동,23526.054880757125,0.21003042884117373
11290580,돈암1동,10129.505801794565,0.06722985873095927
11290590,돈암2동,14136.261760993224,0.10993989038863276
11290600,안암동,26053.650876030406,0.2369733487682264
11290610,보문동,14596.494876578225,0.11484574718068864
11290620,정릉1동,12661.093203162554,0.09421532506772583
11290630,정릉2동,18342.86169583568,0.1547801597281762
11290640,정릉3동,15311.823419527362,0.12247079473190145
11290650,정릉4동,17434.902474870305,0.14510176467087815
11290660,길음1동,35697.48468637437,0.33977183500882824
11290685,길음2동,18664.572047917623,0.15820943255186198
11290705,종암동,38096.97624297088,0.36534922514392726
11290715,월곡1동,28188.777047842857,0.2597327349948523
11290725,월곡2동,22792.231683184746,0.20220823744279373
11290760,장위1동,20116.02160225032,0.17368116505724365
11290770,장위2동,13330.011372320045,0.10134566104826387
11290780,장위3동,9903.87522457835,0.06482474866336958
11290810,석관동,26605.246772302467,0.2428530874974936
11305534,삼양동,21804.26964454399,0.19167705202081825
11305535,미아동,21614.96225661999,0.1896591291391655
11305545,송중동,32843.775450779016,0.30935270965275113
11305555,송천동,22686.63032709326,0.2010825793523862
11305575,삼각산동,19388.52156854325,0.1659263754501417
11305645,우이동,17260.79380513761,0.14324585258841482
11305660,인수동,26138.619137380752,0.2378790683002182
11320511,창1동,19738.510077642462,0.1696570794050786
11320512,창2동,30560.996432989326,0.28501941730599945
11320513,창3동,10527.875802348912,0.07147628539342722
11320514,창4동,27437.131673260705,0.25172056802719694
11320515,창5동,17066.572446915892,0.1411755492201246
11320521,도봉1동,17104.862014858016,0.14158369702738305
11320522,도봉2동,18277.041319696757,0.15407854715749802
11320660,쌍문1동,15597.514108913841,0.12551611581265912
11320670,쌍문2동,16784.040497966875,0.13816389874607624
11320680,쌍문3동,16078.968354906534,0.13064817933174147
11320681,쌍문4동,12203.464543000164,0.08933723047897942
11320690,방학1동,24203.335679765,0.21724990630906177
11320700,방학2동,10197.454318014989,0.06795415621960559
11320710,방학3동,19087.651994988726,0.1627192549910473
